Actual Spotify Name,Spotify URL,Spotify ID
"Afrobeat, Chill","https://open.spotify.com/playlist/2iig1p0w46f3lKUim5aCQP","2iig1p0w46f3lKUim5aCQP"
"Afrobeat, Groovers","https://open.spotify.com/playlist/7xeFi53HwuE8pNlftbK2lL","7xeFi53HwuE8pNlftbK2lL"
"Afrobeat, Heavy","https://open.spotify.com/playlist/52WUzKdwm9kgIYtJq3Pxfi","52WUzKdwm9kgIYtJq3Pxfi"
"Alex Kasau Katombi","https://open.spotify.com/playlist/4tNlGIW4EsLe0CwP5LWx6c","4tNlGIW4EsLe0CwP5LWx6c"
"Atom TM","https://open.spotify.com/playlist/4NL0LAlmsbr2W70g27Cycn","4NL0LAlmsbr2W70g27Cycn"
"Amapiano, Gospel","https://open.spotify.com/playlist/1pYn1uvmbNPPiarE2mT8SP","1pYn1uvmbNPPiarE2mT8SP"
"Amapiano, Private School","https://open.spotify.com/playlist/2HnPeP0Nfk6YpTBmxrS9U6","2HnPeP0Nfk6YpTBmxrS9U6"
"Amapiano, Starter Pack","https://open.spotify.com/playlist/0FQ3q1kXYX1hfN7N5n7yT6","0FQ3q1kXYX1hfN7N5n7yT6"
"Asakaa","https://open.spotify.com/playlist/2lni3fakT2CCFulvIWcOFt","2lni3fakT2CCFulvIWcOFt"
"Asakaa, Starter Pack","https://open.spotify.com/playlist/13IKYLFu60AscHVUcWwuv0","13IKYLFu60AscHVUcWwuv0"
"Benga & Kamba Pop, Modern","https://open.spotify.com/playlist/1JSCxZphCXqWqfq5pYrub9","1JSCxZphCXqWqfq5pYrub9"
"Benga & Kamba Pop, Vintage","https://open.spotify.com/playlist/0t6jRcP3uo3BSEEFvUsrxe","0t6jRcP3uo3BSEEFvUsrxe"
"Biama","https://open.spotify.com/playlist/3Q6gJfudcpuoV1rVScaD4x","3Q6gJfudcpuoV1rVScaD4x"
"Bikutsi","https://open.spotify.com/playlist/1WS40Xzfsrg37iKOXudtOk","1WS40Xzfsrg37iKOXudtOk"
"Bikutsi, Contemporary","https://open.spotify.com/playlist/0a8H55Hlj8sAUGkJs7tdnY","0a8H55Hlj8sAUGkJs7tdnY"
"Cabo Verde, Vintage R&B","https://open.spotify.com/playlist/1rbReWa0ajvTwJQJFiZYoH","1rbReWa0ajvTwJQJFiZYoH"
"Cabo Verde, Vintage Rock And Funk","https://open.spotify.com/playlist/6K9t5Ja3meB06K8Ffi691b","6K9t5Ja3meB06K8Ffi691b"
"Chimurenga","https://open.spotify.com/playlist/7xwKgLkCIFBhqXGeNEmTWz","7xwKgLkCIFBhqXGeNEmTWz"
"Coupé-décalé","https://open.spotify.com/playlist/0kOQEBaYZ3iy4vvwAQQJ4X","0kOQEBaYZ3iy4vvwAQQJ4X"
"Ethiopia, Blues","https://open.spotify.com/playlist/0vRmvfpw1bsPd4emjHOs9y","0vRmvfpw1bsPd4emjHOs9y"
"Ethiopia, Funk & Soul","https://open.spotify.com/playlist/09t24TcQoM3mYuB3WT5eu7","09t24TcQoM3mYuB3WT5eu7"
"Ethiopia, Jazz","https://open.spotify.com/playlist/4cJjQzwIDDCvLyn9B93XOd","4cJjQzwIDDCvLyn9B93XOd"
"Ethiopia, Jazz Vocal","https://open.spotify.com/playlist/4odZ0OheBc97joZ9YiWYfZ","4odZ0OheBc97joZ9YiWYfZ"
"Funaná","https://open.spotify.com/playlist/038RxzglexdTMi2RV8NIGf","038RxzglexdTMi2RV8NIGf"
"Acetone","https://open.spotify.com/playlist/5GbQEsE7cPTpxSXF2vRag7","5GbQEsE7cPTpxSXF2vRag7"
"Aleksi Perälä, Ambient","https://open.spotify.com/playlist/13FHf7pS4BFYgpSMO5cQ5t","13FHf7pS4BFYgpSMO5cQ5t"
"Aleksi Perälä, Ambient Beats","https://open.spotify.com/playlist/49kbHTAr0darDpdHdHdOFk","49kbHTAr0darDpdHdHdOFk"
"Aleksi Perälä, Beats","https://open.spotify.com/playlist/74uUwxODQwRR6b5Sn6cgze","74uUwxODQwRR6b5Sn6cgze"
"Alessandro Cortini","https://open.spotify.com/playlist/5xg8l4oRQTliZHWUMmbpog","5xg8l4oRQTliZHWUMmbpog"
"Hees Macaan","https://open.spotify.com/playlist/15XPRBJfwILv97ucd5DrHh","15XPRBJfwILv97ucd5DrHh"
"Hees Macaan, Starter Pack","https://open.spotify.com/playlist/4ZplzNGXYhoJzZ3qic1YH1","4ZplzNGXYhoJzZ3qic1YH1"
"Highlife, Vintage Jazzy","https://open.spotify.com/playlist/79sfOC33ieQMvylMkvYLnK","79sfOC33ieQMvylMkvYLnK"
"Amapiano","https://open.spotify.com/playlist/79M99hodUmv6FLQMVZ97lr","79M99hodUmv6FLQMVZ97lr"
"Kora","https://open.spotify.com/playlist/0zMqwNg0GC4Pg1YQn0R69k","0zMqwNg0GC4Pg1YQn0R69k"
"Ambient, Ancient","https://open.spotify.com/playlist/7AWO9lCenDDqGEMc5VwZzz","7AWO9lCenDDqGEMc5VwZzz"
"Ambient, Balearic","https://open.spotify.com/playlist/3h6tiKA7760RuHroRq4VUV","3h6tiKA7760RuHroRq4VUV"
"Ambient, Classical Swells","https://open.spotify.com/playlist/2prFQwqRESbg7m2yLW8TIA","2prFQwqRESbg7m2yLW8TIA"
"Ambient, Country","https://open.spotify.com/playlist/63tLUvVN2cyufFq9VBNB73","63tLUvVN2cyufFq9VBNB73"
"Ambient, Faded","https://open.spotify.com/playlist/4WIR9yiqhfdvTHRhqGGqON","4WIR9yiqhfdvTHRhqGGqON"
"Ambient, Floating","https://open.spotify.com/playlist/49zrvR1Mph2kjThFHrhXhw","49zrvR1Mph2kjThFHrhXhw"
"Ambient, Heartstrings","https://open.spotify.com/playlist/0czY51CRWCFNciREa0KMWS","0czY51CRWCFNciREa0KMWS"
"Kwaku DMC","https://open.spotify.com/playlist/2I3Y551Qnz3JHrsasUPJt9","2I3Y551Qnz3JHrsasUPJt9"
"Mahraganat","https://open.spotify.com/playlist/27gc1VLVQ0E6d7ZHUyfgLf","27gc1VLVQ0E6d7ZHUyfgLf"
"Mahraganat, Starter Pack","https://open.spotify.com/playlist/0Og9nutJw2eAP8seV8U6NY","0Og9nutJw2eAP8seV8U6NY"
"Makossa","https://open.spotify.com/playlist/7N3tj9ECjNH9nWpTFBcMrh","7N3tj9ECjNH9nWpTFBcMrh"
"Mbalax","https://open.spotify.com/playlist/2vDJPSyPsaVluvBe7fueHd","2vDJPSyPsaVluvBe7fueHd"
"Mbalax, Contemporary Pop","https://open.spotify.com/playlist/3N2lrPIai04h83Odpkf19j","3N2lrPIai04h83Odpkf19j"
"Mbalax, Contemporary Rap","https://open.spotify.com/playlist/0RsOLoaHWxPBYR5b6cfYPZ","0RsOLoaHWxPBYR5b6cfYPZ"
"Ambient, Japan","https://open.spotify.com/playlist/04qAy2I5Ojwp0hatwcTUQf","04qAy2I5Ojwp0hatwcTUQf"
"Mbira","https://open.spotify.com/playlist/1rYjf7xUGiYES9rQFoWJhX","1rYjf7xUGiYES9rQFoWJhX"
"Salegy & Kawitry","https://open.spotify.com/playlist/4N8p7ElBD9ul8Vt01hZhoi","4N8p7ElBD9ul8Vt01hZhoi"
"Salegy & Kawitry, Starter Pack","https://open.spotify.com/playlist/3cc2SwSPDVRheVL2ongzRb","3cc2SwSPDVRheVL2ongzRb"
"Ambient, Kompakt Queasy","https://open.spotify.com/playlist/5yMc5m6k38mikLv55hYZrp","5yMc5m6k38mikLv55hYZrp"
"Ambient, Outer Space","https://open.spotify.com/playlist/0IvCfBCJhAwRBapKm9eXsp","0IvCfBCJhAwRBapKm9eXsp"
"Tsapiky","https://open.spotify.com/playlist/2Zmb0eCGh5JpOd8QaUZffF","2Zmb0eCGh5JpOd8QaUZffF"
"Wawa Salegy","https://open.spotify.com/playlist/2dIeZLRgv0xi7GBxOM92lf","2dIeZLRgv0xi7GBxOM92lf"
"Ambient, Techno","https://open.spotify.com/playlist/5fs3FTwvwtq8YVSOmc0qRt","5fs3FTwvwtq8YVSOmc0qRt"
"Ambient, Water","https://open.spotify.com/playlist/0l4dVLG5CXpkkTFWRTbIfP","0l4dVLG5CXpkkTFWRTbIfP"
"Zouglou","https://open.spotify.com/playlist/5OuAAwRsFfsppPMBZXGQPT","5OuAAwRsFfsppPMBZXGQPT"
"Zouglou, Rapide","https://open.spotify.com/playlist/35ePSEtczTznJJQhGNkoHi","35ePSEtczTznJJQhGNkoHi"
"Yet They Say, Vol. 1","https://open.spotify.com/playlist/7r9P1JViiAMM5H9n2Qjb7b","7r9P1JViiAMM5H9n2Qjb7b"
"Arab Strap","https://open.spotify.com/playlist/2TD8uJo3YaK7ayv4XWJXul","2TD8uJo3YaK7ayv4XWJXul"
"Arthur Lyman, Chill","https://open.spotify.com/playlist/05lqPGIja6yCRdkAeg0rR5","05lqPGIja6yCRdkAeg0rR5"
"ASC, Ambient","https://open.spotify.com/playlist/2GTdCjTWSe4aLFjexf6xas","2GTdCjTWSe4aLFjexf6xas"
"ASC, Drum & Bass Dark","https://open.spotify.com/playlist/66FMyWSL4ai8HLFFEx8qeC","66FMyWSL4ai8HLFFEx8qeC"
"ASC, Drum & Bass Light","https://open.spotify.com/playlist/3YTUUD1qFCJdi6tA2CPJ2m","3YTUUD1qFCJdi6tA2CPJ2m"
"ASC, Electronica Dark","https://open.spotify.com/playlist/31fRkBUVMyAiEIextWgg1S","31fRkBUVMyAiEIextWgg1S"
"ASC, Electronica Light","https://open.spotify.com/playlist/4rPufV1Gi5hU04fma7ePV9","4rPufV1Gi5hU04fma7ePV9"
"ASC, Starter Pack","https://open.spotify.com/playlist/41LddJ20d8OEEn0JS4dPG5","41LddJ20d8OEEn0JS4dPG5"
"ASC, Techno","https://open.spotify.com/playlist/0xqNI7zlmk1WxI9BjC5dZ8","0xqNI7zlmk1WxI9BjC5dZ8"
"Atom TM, Ambient","https://open.spotify.com/playlist/6Bf98QeikFhEmx4I9eaFA1","6Bf98QeikFhEmx4I9eaFA1"
"Atom TM, Chill","https://open.spotify.com/playlist/1gfY14XzLgklsd7hbhD9gs","1gfY14XzLgklsd7hbhD9gs"
"Atom TM, Digital Hardcore","https://open.spotify.com/playlist/0fhOmjyRTApzRhqy4oulzf","0fhOmjyRTApzRhqy4oulzf"
"Atom TM, Electronic Experimental","https://open.spotify.com/playlist/0ektreZOberCoGpFwDYyUy","0ektreZOberCoGpFwDYyUy"
"Atom TM, Electronic Heavy","https://open.spotify.com/playlist/21LF9zp0vqyJxdQP0ioIHj","21LF9zp0vqyJxdQP0ioIHj"
"Atom TM,  Electronic Soft","https://open.spotify.com/playlist/38ml82ODH5HumdFzumWkY0","38ml82ODH5HumdFzumWkY0"
"Atom TM, Glitch","https://open.spotify.com/playlist/7CqvI7yWjT7Vz4SV201NcV","7CqvI7yWjT7Vz4SV201NcV"
"Atom TM, Latin Experimental","https://open.spotify.com/playlist/79MA3K9hkgNXw2WzI0qZT9","79MA3K9hkgNXw2WzI0qZT9"
"Atom TM, Latin Pop","https://open.spotify.com/playlist/7oVg1AjG18TjKEMwzTwKXV","7oVg1AjG18TjKEMwzTwKXV"
"Atom TM, Pop Dark","https://open.spotify.com/playlist/1BqRxVba45sNlEd4Gr6HAp","1BqRxVba45sNlEd4Gr6HAp"
"Atom TM, Pop Light","https://open.spotify.com/playlist/3ANbspvqDje5SguYqQpyow","3ANbspvqDje5SguYqQpyow"
"Atom TM, Starter Pack","https://open.spotify.com/playlist/6wFf3Nk95ob2UiR2DwpvFJ","6wFf3Nk95ob2UiR2DwpvFJ"
"Autechre, Post 2000","https://open.spotify.com/playlist/0j8vOIrlb5iKi2uIsmZqKD","0j8vOIrlb5iKi2uIsmZqKD"
"Autechre, Pre 2000","https://open.spotify.com/playlist/46Vag9YCi7SCH87AUL1iv0","46Vag9YCi7SCH87AUL1iv0"
"Autumn","https://open.spotify.com/playlist/6UhnY0JKXAIp7lpemR460r","6UhnY0JKXAIp7lpemR460r"
"Autechre, Odds & Sods","https://open.spotify.com/playlist/5EEo9Cj8XRSKe7RjKN54Ty","5EEo9Cj8XRSKe7RjKN54Ty"
"Balearic Music","https://open.spotify.com/playlist/0uABCXhc1GhyZdAYbAlY9N","0uABCXhc1GhyZdAYbAlY9N"
"Balearic, Pop","https://open.spotify.com/playlist/2keOQdxWMpQvLqIwVyLmPS","2keOQdxWMpQvLqIwVyLmPS"
"Beach Boys, Experimental","https://open.spotify.com/playlist/36OdtkSojyq4dmnIWBn0Qc","36OdtkSojyq4dmnIWBn0Qc"
"Blues, Chill","https://open.spotify.com/playlist/3BtzIGpDtueO5elQrwl0wB","3BtzIGpDtueO5elQrwl0wB"
"Blues, Early","https://open.spotify.com/playlist/5GOZOzf5d4Dc8FDX9LV8Ze","5GOZOzf5d4Dc8FDX9LV8Ze"
"Boogie","https://open.spotify.com/playlist/6d5BDrtmclL3mxD83zlzOS","6d5BDrtmclL3mxD83zlzOS"
"Brazil, Bumping","https://open.spotify.com/playlist/35EY0l9jOjybuoWAvJqpP8","35EY0l9jOjybuoWAvJqpP8"
"Brazil, Chill","https://open.spotify.com/playlist/1LyJyYFq9U9FRxTMXKudv9","1LyJyYFq9U9FRxTMXKudv9"
"Brazil, Funk & Soul","https://open.spotify.com/playlist/1UOkuNE1cc2sEFh03leunA","1UOkuNE1cc2sEFh03leunA"
"Brazil, Psychedelic","https://open.spotify.com/playlist/5tz0aRB8kJMM15xMyufb3O","5tz0aRB8kJMM15xMyufb3O"
"Brazil, Vibes","https://open.spotify.com/playlist/6WVROZezkHdnoUWeAjNT0k","6WVROZezkHdnoUWeAjNT0k"
"Burnt Friedman","https://open.spotify.com/playlist/4zSxhCWqVhwg4E06wOhIMX","4zSxhCWqVhwg4E06wOhIMX"
"By The Way, Vol. 1","https://open.spotify.com/playlist/4UbuFLeWj0Kd7zzSZ0Y9QA","4UbuFLeWj0Kd7zzSZ0Y9QA"
"By The Way, Vol. 10","https://open.spotify.com/playlist/0doEtzxM03IrKqkym3vxLx","0doEtzxM03IrKqkym3vxLx"
"By The Way, Vol. 2","https://open.spotify.com/playlist/5QkFOYKOH5mGMhjcuER0gv","5QkFOYKOH5mGMhjcuER0gv"
"By The Way, Vol. 3","https://open.spotify.com/playlist/4AG6XFDIQ1Fzlj3GpZnkxb","4AG6XFDIQ1Fzlj3GpZnkxb"
"By The Way, Vol. 4","https://open.spotify.com/playlist/4O9w0ca5V7bdw8TiK9Qvkc","4O9w0ca5V7bdw8TiK9Qvkc"
"By The Way, Vol. 5","https://open.spotify.com/playlist/1mdsTvjqzg9glSr7bWpgAR","1mdsTvjqzg9glSr7bWpgAR"
"By The Way, Vol. 6","https://open.spotify.com/playlist/6qbLpNK4g0JNqcp9ccw2IZ","6qbLpNK4g0JNqcp9ccw2IZ"
"By The Way, Vol. 6","https://open.spotify.com/playlist/6qbLpNK4g0JNqcp9ccw2IZ","6qbLpNK4g0JNqcp9ccw2IZ"
"By The Way, Vol. 8","https://open.spotify.com/playlist/3LrFR2CBxvGPB1k50HA3vD","3LrFR2CBxvGPB1k50HA3vD"
"By The Way, Vol. 9","https://open.spotify.com/playlist/0Nk04NfUz4lGUTo1Fqdw8Y","0Nk04NfUz4lGUTo1Fqdw8Y"
"Calypso, Classic","https://open.spotify.com/playlist/5WlU5dajU5gbw67YomXXPy","5WlU5dajU5gbw67YomXXPy"
"Chamber Pop, 60s","https://open.spotify.com/playlist/0Hz7pxGcFRvGYGoDwTAy1R","0Hz7pxGcFRvGYGoDwTAy1R"
"Chill Worldwide","https://open.spotify.com/playlist/3dMCpjhAA3OjJleYu4yZ8U","3dMCpjhAA3OjJleYu4yZ8U"
"City Pop, Funky","https://open.spotify.com/playlist/4vcecbl4VoDahMfo20uJCu","4vcecbl4VoDahMfo20uJCu"
"City Pop, Smooth","https://open.spotify.com/playlist/4T1ZuyQ3LCPQ8MWRnqYYKq","4T1ZuyQ3LCPQ8MWRnqYYKq"
"Conrad Schnitzler, Starter Pack","https://open.spotify.com/playlist/0KTL1zPh9jlFb4IWw9n28p","0KTL1zPh9jlFb4IWw9n28p"
"Country, Classic","https://open.spotify.com/playlist/2ppUaha7zYPbKfLx2FEF5E","2ppUaha7zYPbKfLx2FEF5E"
"Country, Heartbreakers","https://open.spotify.com/playlist/7rVhtH0nrGdRHCe8YPV8eg","7rVhtH0nrGdRHCe8YPV8eg"
"Dancehall / Ragga, Classic","https://open.spotify.com/playlist/0SD6QYL3tq0WSSBv9do5Pt","0SD6QYL3tq0WSSBv9do5Pt"
"Dinner Party Funk","https://open.spotify.com/playlist/4l73MmRDRCpAXGtxXF4LP1","4l73MmRDRCpAXGtxXF4LP1"
"Drum & Bass, Dark","https://open.spotify.com/playlist/6UeEinPneyvyvyHcHgOyUU","6UeEinPneyvyvyHcHgOyUU"
"Drum & Bass, Light","https://open.spotify.com/playlist/6RGN43GlQ54FPFuKBiZBaP","6RGN43GlQ54FPFuKBiZBaP"
"Drum & Bass, Liquid","https://open.spotify.com/playlist/1r047aOhZGll7o17tpDUWA","1r047aOhZGll7o17tpDUWA"
"Dub","https://open.spotify.com/playlist/21udxWtqkYOyGAjgq631tb","21udxWtqkYOyGAjgq631tb"
"Dub Techno For The Isolation Tank","https://open.spotify.com/playlist/3UDr6AU96BygUUtE3CYumt","3UDr6AU96BygUUtE3CYumt"
"Durutti Column","https://open.spotify.com/playlist/1qd8iDGjMQbXWZInlaUjV4","1qd8iDGjMQbXWZInlaUjV4"
"Dylan Henner","https://open.spotify.com/playlist/2bw2rkrgs27KsDN8V2Vdc2","2bw2rkrgs27KsDN8V2Vdc2"
"Easy Listening","https://open.spotify.com/playlist/7mnOW7OjzJ3VhwoOLfuOPf","7mnOW7OjzJ3VhwoOLfuOPf"
"Electronic, Abandoned Cities","https://open.spotify.com/playlist/5AoZhGIFYyhzfJcOV6hKO3","5AoZhGIFYyhzfJcOV6hKO3"
"Electronic, Downtempo","https://open.spotify.com/playlist/14tVly3NHzR2xGsyAqnQD7","14tVly3NHzR2xGsyAqnQD7"
"Electronic, Experimental Chill","https://open.spotify.com/playlist/2kHGKcLMa08TuhKhYIOor4","2kHGKcLMa08TuhKhYIOor4"
"Electronic, Goth Experiments","https://open.spotify.com/playlist/17MvGxEie2iID1JnlWaH19","17MvGxEie2iID1JnlWaH19"
"Electronic, Imaginary Jungles","https://open.spotify.com/playlist/7ofatheLbWhDDx1WQ0gM2E","7ofatheLbWhDDx1WQ0gM2E"
"Electronic, Industrial Digital Noise Pop","https://open.spotify.com/playlist/3Emcn9mreARZ6PpXCNK8Gt","3Emcn9mreARZ6PpXCNK8Gt"
"Electronic, Melancholic Breakbeats","https://open.spotify.com/playlist/0ugIbsmXT7xQCF24WvqXTP","0ugIbsmXT7xQCF24WvqXTP"
"Electronic, Skittering Beats And Moody Synths","https://open.spotify.com/playlist/5c97WzcOSqn7YL746H58mF","5c97WzcOSqn7YL746H58mF"
"Electronic, Unpredictable Rhythms","https://open.spotify.com/playlist/190cu5KJIW9msJH4L28Om6","190cu5KJIW9msJH4L28Om6"
"Electronic, Wonky House And Techno","https://open.spotify.com/playlist/4PLGnyHkSj05PkvsxmcMvM","4PLGnyHkSj05PkvsxmcMvM"
"Electronica, Light","https://open.spotify.com/playlist/2drGk1NoK2uliqh0j3KEIS","2drGk1NoK2uliqh0j3KEIS"
"Elvis, Rockin'","https://open.spotify.com/playlist/324FB8PjZlIPTo1iE3goGS","324FB8PjZlIPTo1iE3goGS"
"Elvis, Melancholy","https://open.spotify.com/playlist/7lvkGgbhbzHwWuhP4eUkZd","7lvkGgbhbzHwWuhP4eUkZd"
"Ennio Morricone","https://open.spotify.com/playlist/2xdrmYvF619UlN3ycp3bNt","2xdrmYvF619UlN3ycp3bNt"
"Envy","https://open.spotify.com/playlist/5UwJ6VzCES8mC1KtAWjwQA","5UwJ6VzCES8mC1KtAWjwQA"
"Enya","https://open.spotify.com/playlist/5ZnCWOyyceYfzFPTlQTtt5","5ZnCWOyyceYfzFPTlQTtt5"
"Experimental, Ancient","https://open.spotify.com/playlist/3VvmF9WRJDFtSOswhMhd0u","3VvmF9WRJDFtSOswhMhd0u"
"Experimental, Celestial Digital Pop","https://open.spotify.com/playlist/5wlP2D6o6MtR3ym9wzBpvU","5wlP2D6o6MtR3ym9wzBpvU"
"Experimental, Durational Dissonance","https://open.spotify.com/playlist/5L1uBkB1Qun4adzwC3hyw0","5L1uBkB1Qun4adzwC3hyw0"
"Experimental, Dying Cities","https://open.spotify.com/playlist/0mHgCb5Y5X2jj97bshAZ2O","0mHgCb5Y5X2jj97bshAZ2O"
"Experimental, Guitar Glitch Ambient","https://open.spotify.com/playlist/6SkxYE5NBMEXwEdRyF0u5F","6SkxYE5NBMEXwEdRyF0u5F"
"Experimental, Guitar Haze","https://open.spotify.com/playlist/6XMAIFQLPBMpycUI7urUrl","6XMAIFQLPBMpycUI7urUrl"
"Fennesz","https://open.spotify.com/playlist/5J3Gkm8Z0MN0jGxlcrgdoq","5J3Gkm8Z0MN0jGxlcrgdoq"
"Fennesz, Starter Pack","https://open.spotify.com/playlist/6v5qQ9Uk0meKPbgy08ZUSe","6v5qQ9Uk0meKPbgy08ZUSe"
"Flamenco","https://open.spotify.com/playlist/3B5mUKzMnB6dmbjByHTevx","3B5mUKzMnB6dmbjByHTevx"
"Flamenco, Bulerías","https://open.spotify.com/playlist/2KCZR6Lj2arKEtr0LtGC2v","2KCZR6Lj2arKEtr0LtGC2v"
"Flamenco, Guitar","https://open.spotify.com/playlist/3p71pRZMixpIo4cOVAGWHg","3p71pRZMixpIo4cOVAGWHg"
"Flanger","https://open.spotify.com/playlist/3ae9hVmttiHPHxXRjsJpXH","3ae9hVmttiHPHxXRjsJpXH"
"France, Vintage Pop","https://open.spotify.com/playlist/2yaViv3Jmrh40tOwc7DXQz","2yaViv3Jmrh40tOwc7DXQz"
"France, Vintage Mellow","https://open.spotify.com/playlist/3CiekaZIGQmJyHus4bQ2ta","3CiekaZIGQmJyHus4bQ2ta"
"Frank Zappa, Chill","https://open.spotify.com/playlist/52lkyYKaYr641xjWZfVoEY","52lkyYKaYr641xjWZfVoEY"
"Frank Zappa, Doo Wop","https://open.spotify.com/playlist/61zeKfQ3ijwLglhbwrybEG","61zeKfQ3ijwLglhbwrybEG"
"Frank Zappa, Guitar","https://open.spotify.com/playlist/3xXvYq8t8kfcwEV8ktQMpS","3xXvYq8t8kfcwEV8ktQMpS"
"Frank Zappa, Psychedelic Pop","https://open.spotify.com/playlist/3Wo4SCkRNL0gGfB8TXCIHN","3Wo4SCkRNL0gGfB8TXCIHN"
"Fumio Miyashita","https://open.spotify.com/playlist/1UEPQwZNOQ9AGazYrG53vN","1UEPQwZNOQ9AGazYrG53vN"
"Fumio Miyashita, Ambient","https://open.spotify.com/playlist/4z13KHa9XXWtM7WvuowxmR","4z13KHa9XXWtM7WvuowxmR"
"Fumio Miyashita, Oddballs","https://open.spotify.com/playlist/6bL8QQmsqpB9TER65zLiEv","6bL8QQmsqpB9TER65zLiEv"
"Worldwide, Funk","https://open.spotify.com/playlist/4KBVVENkjPTtYAfGBuzYTA","4KBVVENkjPTtYAfGBuzYTA"
"Gqom, Club","https://open.spotify.com/playlist/2TJp9jSy5LgUCvsXVGp0Lf","2TJp9jSy5LgUCvsXVGp0Lf"
"Gqom, Pop","https://open.spotify.com/playlist/23xAyUghMaGL37g1cY6EcC","23xAyUghMaGL37g1cY6EcC"
"Gqom, Sgubhu","https://open.spotify.com/playlist/29KTqtOetJjYWtq9Sx43uN","29KTqtOetJjYWtq9Sx43uN"
"Gqom, Sgubhu Pop","https://open.spotify.com/playlist/6hjHs1OP9N81cjBWaloK2U","6hjHs1OP9N81cjBWaloK2U"
"Gqom, Starter Pack","https://open.spotify.com/playlist/3O4xMBJh0FzRB9VQzhlrHT","3O4xMBJh0FzRB9VQzhlrHT"
"Grouper","https://open.spotify.com/playlist/2SHxGmuZ2HujiioJaD27FO","2SHxGmuZ2HujiioJaD27FO"
"Haunted Ballroom, Happy","https://open.spotify.com/playlist/4qYg98RGnv7dgvPI1nUMS0","4qYg98RGnv7dgvPI1nUMS0"
"Haunted Ballroom, Sad","https://open.spotify.com/playlist/4t40RSBwcNxMqJydp1uAey","4t40RSBwcNxMqJydp1uAey"
"Hip-Hop, 1985-1992","https://open.spotify.com/playlist/45ef5ZFbUS1A9xbdN1z0UI","45ef5ZFbUS1A9xbdN1z0UI"
